ISO3,P1,P2,P3,P4,P5,index
BRA,0.899,0.732,0.800,0.660,0.691,0.756
ARG,0.807,0.777,0.600,0.681,0.594,0.692
COL,0.699,0.630,0.350,0.418,0.431,0.505
MEX,0.674,0.672,0.567,0.456,0.469,0.567
CHL,0.665,0.835,0.400,0.723,0.813,0.687
PER,0.606,0.615,0.500,0.262,0.483,0.493
DOM,0.589,0.648,0.050,0.184,0.312,0.356
URY,0.588,0.611,0.200,0.530,0.593,0.504
PAN,0.567,0.479,0.200,0.235,0.420,0.380
SLV,0.539,0.341,0.600,0.150,0.189,0.364
PRY,0.535,0.536,0.400,0.361,0.363,0.439
JAM,0.518,0.536,0.200,0.494,0.282,0.406
GTM,0.340,0.126,0.050,0.101,0.241,0.172
HND,0.322,0.241,0.000,0.077,0.167,0.161
