ISO3,P1,P2,P3,P4,P5,index
BRA,0.893,0.743,0.755,0.447,0.751,0.718
ARG,0.800,0.791,0.555,0.535,0.665,0.669
MEX,0.697,0.678,0.667,0.497,0.385,0.585
COL,0.687,0.639,0.332,0.467,0.459,0.517
CHL,0.664,0.853,0.527,0.631,0.784,0.692
PAN,0.600,0.486,0.518,0.345,0.467,0.483
DOM,0.583,0.658,0.264,0.174,0.426,0.421
PER,0.582,0.625,0.491,0.406,0.507,0.522
PRY,0.535,0.535,0.518,0.511,0.484,0.517
SLV,0.505,0.343,0.655,0.350,0.329,0.436
JAM,0.478,0.541,0.200,0.179,0.231,0.326
HND,0.398,0.241,0.027,0.213,0.326,0.241
GTM,0.350,0.121,0.273,0.223,0.406,0.275
